X,Y,ROADNO,CLASS,REGION,WIDTH,LANES,SURFTYPE,PAVETYPE,CONDITION,length_1,segment_id
18.65304738,-33.97515903,R300,Primary,Western Cape,20.2,2,Paved,FLEX,Good,471.207,D1U6OOF
18.6538966201009,-33.9709889694751,R300,Primary,Western Cape,20.2,2,Paved,FLEX,Good,471.207,NG4X2MD
18.6547258802635,-33.9669029686826,R300,Primary,Western Cape,20.2,2,Paved,FLEX,Good,471.207,792705Z
18.655574039424,-33.9627349828801,R300,Primary,Western Cape,20.2,2,Paved,FLEX,Good,471.207,IK67XHB
18.65641896,-33.958566,R300,Primary,Western Cape,20.2,2,Paved,FLEX,Good,471.207,OWCF2MH
18.65726604,-33.954399,R300,Primary,Western Cape,20.2,2,Paved,FLEX,Good,471.207,MORJH71
18.6580940393187,-33.9503175033658,R300,Primary,Western Cape,20.2,2,Paved,FLEX,Good,471.207,49ZDYOH
18.6589439990726,-33.9461479846368,R300,Primary,Western Cape,20.2,2,Paved,FLEX,Good,471.207,KL4UM68
18.6597950412238,-33.9419809731994,R300,Primary,Western Cape,20.2,2,Paved,FLEX,Good,471.207,V5A8ZZZ
18.5477264997742,-33.7941180029713,N7,Primary,Western Cape,12.8,2,Paved,FLEX,Very Good,496.079,0
18.54842742,-33.78974598,N7,Primary,Western Cape,12.8,2,Paved,FLEX,Very Good,496.079,0
18.54900252,-33.78527496,N7,Primary,Western Cape,12.8,2,Paved,FLEX,Very Good,496.079,0
19.119131458105,-33.7322575337989,N1,Primary,Western Cape,20.2,2,Paved,FLEX,Good,469.92,XYFQJ1Q
19.1225892208738,-33.7330234867501,N1,Primary,Western Cape,20.2,2,Paved,FLEX,Good,469.92,0
19.1275050606263,-33.7322139747261,N1,Primary,Western Cape,20.2,2,Paved,FLEX,Good,469.92,0
18.6631534776968,-33.8752215010194,N1,Primary,Western Cape,20.2,2,Paved,FLEX,Very Good,510.525,HN83F3L
18.6673694390514,-33.8734165054285,N1,Primary,Western Cape,20.2,2,Paved,FLEX,Very Good,510.525,WLFBY9T
18.67160358,-33.87160998,N1,Primary,Western Cape,20.2,2,Paved,FLEX,Very Good,510.525,JCFWX6E
18.675830520464,-33.8697890097952,N1,Primary,Western Cape,20.2,2,Paved,FLEX,Very Good,510.525,YQRHLO2
18.6803440219087,-33.8678614790232,N1,Primary,Western Cape,20.2,2,Paved,FLEX,Very Good,510.525,XKFABCI
18.683965440156,-33.8655750298972,N1,Primary,Western Cape,20.2,2,Paved,FLEX,Very Good,510.525,UXERJVK
18.68780646,-33.863085495,N1,Primary,Western Cape,20.2,2,Paved,FLEX,Very Good,510.525,RZK0UM0
18.7309701014986,-33.8368924795826,N1,Primary,Western Cape,20.2,2,Paved,FLEX,Very Good,548.918,ZL4WLO2
18.7356679193431,-33.8355774901902,N1,Primary,Western Cape,20.2,2,Paved,FLEX,Very Good,548.918,LAZLJ7E
18.740424923003,-33.834248009572,N1,Primary,Western Cape,20.2,2,Paved,FLEX,Very Good,548.918,G850GMA
18.7451884803986,-33.832921994884,N1,Primary,Western Cape,20.2,2,Paved,FLEX,Very Good,548.918,S4MOE5G
18.7499039443262,-33.8316124937656,N1,Primary,Western Cape,20.2,2,Paved,FLEX,Very Good,548.918,BN3EJU4
18.75471894,-33.83026749,N1,Primary,Western Cape,20.2,2,Paved,FLEX,Very Good,548.918,DD8YXZF
18.7594315215038,-33.8289524995767,N1,Primary,Western Cape,20.2,2,Paved,FLEX,Very Good,548.918,G181X8F
18.764244,-33.827597505,N1,Primary,Western Cape,20.2,2,Paved,FLEX,Very Good,548.918,V19MLWF
18.7689560371946,-33.8262880058224,N1,Primary,Western Cape,20.2,2,Paved,FLEX,Very Good,548.918,L4CWZBU
18.7736700587174,-33.8249774703573,N1,Primary,Western Cape,20.2,2,Paved,FLEX,Very Good,548.918,BUJJNEA
18.778386059574,-33.8236590151172,N1,Primary,Western Cape,20.2,2,Paved,FLEX,Very Good,548.918,KFYGRO8
18.62959302,-34.004421,R300,Primary,Western Cape,20.2,2,Paved,FLEX,Very Good,539.311,QM4QKAZ
18.63308502,-34.0010325,R300,Primary,Western Cape,20.2,2,Paved,FLEX,Very Good,539.311,HB933EE
18.63652806,-33.997675005,R300,Primary,Western Cape,20.2,2,Paved,FLEX,Very Good,539.311,M43AKN2
18.6400479605781,-33.9942609894368,R300,Primary,Western Cape,20.2,2,Paved,FLEX,Very Good,539.311,MM6HDEQ
18.6434960397597,-33.9909060152268,R300,Primary,Western Cape,20.2,2,Paved,FLEX,Very Good,539.311,Z13SS1G
